idioma,archivo,id,texto_traducido
es,confinamiento.py,0020,Calcula rango ±3σ para visualización
es,confinamiento.py,0037,Mean Radius (fm)
es,confinamiento.py,0037,Min (fm)
es,confinamiento.py,0037,Max (fm)
es,confinamiento.py,0038,{mc_mean:.3f}
es,confinamiento.py,0038,{mc_min:.3f}
es,confinamiento.py,0038,{mc_max:.3f}
es,confinamiento.py,0038,±{MC_sigma:.3f}
es,confinamiento.py,0038,Quantum Mechanics (MC)
es,confinamiento.py,0039,{lhc_mean:.5f}
es,confinamiento.py,0039,{lhc_min:.5f}
es,confinamiento.py,0039,{lhc_max:.5f}
es,confinamiento.py,0039,±{LHC_sigma:.3f}
es,confinamiento.py,0039,LHC Experimental
es,confinamiento.py,0040,{ved_mean:.5f}
es,confinamiento.py,0040,{ved_min:.5f}
es,confinamiento.py,0040,{ved_max:.5f}
es,confinamiento.py,0040,±{VED_sigma:.5f}
es,confinamiento.py,0040,Einstein-VED
es,confinamiento.py,0072,Figura 1: Geometrías de confinamiento 2D vs 3D
es,confinamiento.py,0079,Electrón: Confinamiento 2D\nn = 137 (Superficie)
es,confinamiento.py,0084,Protón: Confinamiento 3D\nn = 4 (Volumen)
es,confinamiento.py,0089,Quarks: Dipolos Geométricos\nAnclaje 3D
es,confinamiento.py,0094,Estadística Cuántica Emergente: 2D vs 3D
es,confinamiento.py,0100,Superficie 2D del electrón - ESCALAS LIMPIAS
es,confinamiento.py,0132,Volumen 3D del protón - ESCALAS LIMPIAS
es,confinamiento.py,0171,Dipolos de quarks anclados a dimensiones
es,confinamiento.py,0187,Quark {dim}
es,confinamiento.py,0192,Confinamiento Hadrónico
es,confinamiento.py,0200,Comparación estadística Fermi vs Bose
es,confinamiento.py,0201,Confinamiento 2D\n(Electrón)
es,confinamiento.py,0201,Confinamiento 3D\n(Protón)
es,confinamiento.py,0208,Fermi-Dirac (Exclusión)
es,confinamiento.py,0210,Bose-Einstein (Condensación)
es,confinamiento.py,0213,Comportamiento Estadístico
es,confinamiento.py,0218,Máximo 1 partícula\npor estado
es,confinamiento.py,0219,Múltiples partículas\nmismo estado
es,confinamiento.py,0224,Figura 2: Validación experimental
es,confinamiento.py,0228,Protón VED
es,confinamiento.py,0228,Protón LHC
es,confinamiento.py,0228,Neutrón VED
es,confinamiento.py,0228,Neutrón Exp
es,confinamiento.py,0234,Radio (fm)
es,confinamiento.py,0235,Predicción de Radios Hadrónicos
es,confinamiento.py,0240,{radius:.5f}
es,confinamiento.py,0243,Einstein-VED
es,confinamiento.py,0243,QCD Retículo
es,confinamiento.py,0243,Modelo Constituyente
es,confinamiento.py,0247,Precisión (%)
es,confinamiento.py,0248,Comparación de Precisiones
es,confinamiento.py,0253,{prec}%
es,confinamiento.py,0259,Einstein-VED
es,confinamiento.py,0265,Constante de Estructura Fina
es,confinamiento.py,0270,{value:.3f}
es,confinamiento.py,0275,EXPLICACIÓN DIPOLAR DE JETS EN LHC:\n\n
es,confinamiento.py,0276,• Quarks = Dipolos geométricos anclados a dimensiones\n
es,confinamiento.py,0277,• Al aplicar energía: ruptura dipolar\n
es,confinamiento.py,0278,• Creación de nuevos pares quark-antiquark\n
es,confinamiento.py,0279,• Formación de jets hadrónicos en direcciones opuestas\n
es,confinamiento.py,0280,• No hay 'fuerza de confinamiento' infinita\n
es,confinamiento.py,0280,fuerza de confinamiento
es,confinamiento.py,0281,• Solo reconfiguración geométrica natural
es,confinamiento.py,0290,Figura 3: Solución a paradojas cuánticas
es,confinamiento.py,0310,Solución a la doble rendija
es,confinamiento.py,0328,Dirección de propagación
es,confinamiento.py,0329,Posición
es,confinamiento.py,0330,SOLUCIÓN DOBLE RENDIJA:\nSuperficie completa interactúa
es,confinamiento.py,0333,partícula por dos caminos
es,confinamiento.py,0333,"No es ""partícula por dos caminos""\nEs SUPERFICIE por ambos"
es,confinamiento.py,0337,Solución geométrica al entrelazamiento
es,confinamiento.py,0349,Partícula A
es,confinamiento.py,0350,Partícula B
es,confinamiento.py,0351,GEOMETRÍA COMPARTIDA
es,confinamiento.py,0357,"ENTRELAZAMIENTO:\nGeometría común, no acción a distancia"
es,confinamiento.py,0362,Solución al colapso de la función de onda
es,confinamiento.py,0368,Geometría real (siempre definida)
es,confinamiento.py,0369,Probabilidad antes de medir
es,confinamiento.py,0369,"MC: ""Probabilidad antes de medir"""
es,confinamiento.py,0375,Posición
es,confinamiento.py,0377,"FIN DEL ""COLAPSO"":\nGeometría definida, no probabilística"
es,confinamiento.py,0383,Solución a la estadística cuántica
es,confinamiento.py,0387,ESTADÍSTICA CUÁNTICA EMERGENTE\n\n
es,confinamiento.py,0388,Fermi-Dirac (Exclusión):\n
es,confinamiento.py,0389,• Confinamiento 2D (electrón)\n
es,confinamiento.py,0390,• Restricción topológica natural\n
es,confinamiento.py,0391,• Solo 1 partícula por estado\n\n
es,confinamiento.py,0392,Bose-Einstein (Condensación):\n
es,confinamiento.py,0393,• Confinamiento 3D (protón)\n
es,confinamiento.py,0394,• Geometría esférica completa\n
es,confinamiento.py,0395,• Múltiples partículas mismo estado\n\n
es,confinamiento.py,0396,NO son propiedades fundamentales\n
es,confinamiento.py,0397,SON consecuencias geométricas
es,confinamiento.py,0405,Guarda todas las figuras
es,confinamiento.py,0408,Generando visualizaciones Einstein-VED...
es,confinamiento.py,0411,Generando Figura 1: Geometrías de confinamiento...
es,confinamiento.py,0418,✓ Geometrías de confinamiento guardadas
es,confinamiento.py,0420,Generando Figura 2: Validación experimental...
es,confinamiento.py,0427,✓ Validación experimental guardada
es,confinamiento.py,0429,Generando Figura 3: Solución paradojas cuánticas...
es,confinamiento.py,0435,✓ Solución paradojas cuánticas guardada
es,confinamiento.py,0437,\n✅ Todas las figuras guardadas en formato {format} (DPI: {dpi})
es,confinamiento.py,0440,❌ Error durante la generación: {e}
es,confinamiento.py,0448,Iniciando generación de visualizaciones Einstein-VED...
es,confinamiento.py,0453,\n🎨 Visualizaciones completadas!
es,confinamiento.py,0454,Archivos generados:
es,confinamiento_geometrico.py,0023,Onda ψ(x)
es,confinamiento_geometrico.py,0026,Posición x
es,confinamiento_geometrico.py,0027,Amplitud ψ(x)
es,confinamiento_geometrico.py,0028,CONFINAMIENTO EINSTEIN-VED: Onda → Partícula
es,confinamiento_geometrico.py,0043,Posición x
es,confinamiento_geometrico.py,0044,Amplitud ψ(x)
es,confinamiento_geometrico.py,0045,1. Onda Sinusoidal en Superficie Plana
es,confinamiento_geometrico.py,0064,2. Transición: Enrollamiento ({progress*100:.0f}%)
es,confinamiento_geometrico.py,0065,Coordenada X
es,confinamiento_geometrico.py,0066,Coordenada Y
es,confinamiento_geometrico.py,0076,Confinada (n={n_cycles})
es,confinamiento_geometrico.py,0077,CONDICIÓN EINSTEIN-VED: L = {n_cycles}λ
es,confinamiento_geometrico.py,0080,3. Onda Auto-Confinada - Partícula Estable
es,confinamiento_geometrico.py,0081,Coordenada X
es,confinamiento_geometrico.py,0082,Coordenada Y
es,confinamiento_geometrico.py,0118,a) Onda Plana Libre
es,confinamiento_geometrico.py,0119,Posición x
es,confinamiento_geometrico.py,0120,Amplitud ψ(x)
es,confinamiento_geometrico.py,0137,b) Transición
es,confinamiento_geometrico.py,0138,Coordenada X
es,confinamiento_geometrico.py,0139,Coordenada Y
es,confinamiento_geometrico.py,0155,c) Confinado n=3\nL = 3λ
es,confinamiento_geometrico.py,0156,Coordenada X
es,confinamiento_geometrico.py,0157,Coordenada Y
es,confinamiento_geometrico.py,0159,CONDICIÓN: L = nλ
es,confinamiento_geometrico_tiempo.py,0011,n=1: Tubo espacio-tiempo liso + onda circular fundamental
es,confinamiento_geometrico_tiempo.py,0044,ESTADO FUNDAMENTAL n=1\nEspacio-Tiempo + Onda Circular
es,confinamiento_geometrico_tiempo.py,0056,n=3: Variedad espacio-tiempo + onda con 3 nodos
es,confinamiento_geometrico_tiempo.py,0093,ESTADO EXCITADO n=3\nVariedad Espacio-Tiempo + 3 Nodos
es,confinamiento_geometrico_tiempo.py,0105,Comparación lado a lado n=1 vs n=3
es,confinamiento_geometrico_tiempo.py,0132,n=1: Estado Fundamental
es,confinamiento_geometrico_tiempo.py,0153,n=3: Estado Excitado
es,confinamiento_geometrico_tiempo.py,0164,Muestra cómo las curvas dt generan la superficie n=1
es,confinamiento_geometrico_tiempo.py,0202,GENERACIÓN n=1: dt → Superficie\nCurvas Circulares Generan Cilindro
es,confinamiento_geometrico_tiempo.py,0214,Muestra cómo las curvas dt generan la superficie n=3
es,confinamiento_geometrico_tiempo.py,0257,GENERACIÓN n=3: dt → Variedad\nCurvas con Nodos Generan Geometría
es,confinamiento_geometrico_tiempo.py,0269,Evolución completa dt a través de δt
es,confinamiento_geometrico_tiempo.py,0302,δt={t}
es,confinamiento_geometrico_tiempo.py,0309,Evolución\ntemporal
es,confinamiento_geometrico_tiempo.py,0313,EVOLUCIÓN COMPLETA: dt → δt → Estados n\nConfinamiento Cuántico Einstein-VED
es,confinamiento_geometrico_tiempo.py,0325,🎨 GENERANDO LAS 6 GRÁFICAS COMPLETAS EINSTEIN-VED...
es,confinamiento_geometrico_tiempo.py,0337,\n✅ LAS 6 GRÁFICAS COMPLETAS:
es,Constante_G.py,0042,Radio del protón (línea media)
es,Constante_G.py,0046,"Figura 1: Onda confinada VED del protón, n=2"
es,Constante_G.py,0059,Agujero negro
es,Constante_G.py,0061,Superficie 2D
es,Constante_G.py,0066,Figura 2: Agujero negro y superficie 2D holográfica
es,Constante_G.py,0078,G experimental
es,Constante_G.py,0083,n={n}
es,Constante_G.py,0088,G calculado [m^3/kg/s^2]
es,Constante_G.py,0089,Figura 3: Diana de G ±3σ
es,Constante_G.py,0116,G calculado [m^3/kg/s^2]
es,Constante_G.py,0117,Figura 4: Diana de G ±4σ (flechas)
es,Constante_G.py,0130,G(n) asintótico (continuo)
es,Constante_G.py,0133,G experimental
es,Constante_G.py,0140,"round,pad=0.5"
