idioma;archivo;id;texto
ar;confinamiento_geometrico.py;001;round
ar;confinamiento_geometrico.py;002;yellow
ar;confinamiento_geometrico.py;003;round
ar;confinamiento_geometrico.py;004;yellow
ar;confinamiento_geometrico.py;005;جاري إنشاء رسوم متحركة SVG للحصر...
ar;confinamiento_geometrico.py;006;✅ اكتملت رسوم SVG المتحركة
ar;confinamiento_geometrico.py;007;__main__
ar;confinamiento_geometrico.py;008;جاري إنشاء رسوم متحركة SVG للحصر...
ar;confinamiento_geometrico.py;009;✅ اكتملت رسوم SVG المتحركة
ar;confinamiento_geometrico.py;010;equal
ar;confinamiento_geometrico.py;011;موجة ψ(x)
ar;confinamiento_geometrico.py;012;الموضع x
ar;confinamiento_geometrico.py;013;السعة ψ(x)
ar;confinamiento_geometrico.py;014;الحصر الهندسي لأينشتاين-فيد: موجة → جسيم
ar;confinamiento_geometrico.py;015;bold
ar;confinamiento_geometrico.py;016;equal
ar;confinamiento_geometrico.py;017;brown
ar;confinamiento_geometrico.py;018;الموضع x
ar;confinamiento_geometrico.py;019;السعة ψ(x)
ar;confinamiento_geometrico.py;020;1. موجة جيبية على سطح مستو
ar;confinamiento_geometrico.py;021;bold
ar;confinamiento_geometrico.py;022;gray
ar;confinamiento_geometrico.py;023;center
ar;confinamiento_geometrico.py;024;red
ar;confinamiento_geometrico.py;025;2. انتقال: لف ({progress*100:.0f}%)
ar;confinamiento_geometrico.py;026;bold
ar;confinamiento_geometrico.py;027;الإحداثي X
ar;confinamiento_geometrico.py;028;الإحداثي Y
ar;confinamiento_geometrico.py;029;gray
ar;confinamiento_geometrico.py;030;red
ar;confinamiento_geometrico.py;031;محصورة (n={n_cycles})
ar;confinamiento_geometrico.py;032;شرط أينشتاين-فيد: L = {n_cycles}λ
ar;confinamiento_geometrico.py;033;bold
ar;confinamiento_geometrico.py;034;3. موجة ذاتية الحصر - جسيم مستقر
ar;confinamiento_geometrico.py;035;bold
ar;confinamiento_geometrico.py;036;الإحداثي X
ar;confinamiento_geometrico.py;037;الإحداثي Y
ar;confinamiento_geometrico.py;038;svg
ar;confinamiento_geometrico.py;039;tight
ar;confinamiento_geometrico.py;040;brown
ar;confinamiento_geometrico.py;041;equal
ar;confinamiento_geometrico.py;042;أ) موجة حرة مستوية
ar;confinamiento_geometrico.py;043;bold
ar;confinamiento_geometrico.py;044;الموضع x
ar;confinamiento_geometrico.py;045;السعة ψ(x)
ar;confinamiento_geometrico.py;046;orange
ar;confinamiento_geometrico.py;047;equal
ar;confinamiento_geometrico.py;048;ب) انتقال
ar;confinamiento_geometrico.py;049;bold
ar;confinamiento_geometrico.py;050;الإحداثي X
ar;confinamiento_geometrico.py;051;الإحداثي Y
ar;confinamiento_geometrico.py;052;gray
ar;confinamiento_geometrico.py;053;red
ar;confinamiento_geometrico.py;054;equal
ar;confinamiento_geometrico.py;055;ج) محصورة n=3\nL = 3λ
ar;confinamiento_geometrico.py;056;bold
ar;confinamiento_geometrico.py;057;الإحداثي X
ar;confinamiento_geometrico.py;058;الإحداثي Y
ar;confinamiento_geometrico.py;059;الشرط: L = nλ
ar;confinamiento_geometrico.py;060;center
ar;confinamiento_geometrico.py;061;bold
ar;confinamiento_geometrico.py;062;svg
ar;confinamiento_geometrico.py;063;tight
ar;confinamiento_geometrico_tiempo.py;001;n=1: أنبوب زمكاني أملس + موجة دائرية أساسية
ar;confinamiento_geometrico_tiempo.py;002;n=3: متشعب زمكاني + موجة ذات 3 عقد
ar;confinamiento_geometrico_tiempo.py;003;مقارنة جنبًا إلى جنب n=1 مقابل n=3
ar;confinamiento_geometrico_tiempo.py;004;يوضح كيف تنشئ منحنيات dt السطح n=1
ar;confinamiento_geometrico_tiempo.py;005;يوضح كيف تنشئ منحنيات dt السطح n=3
ar;confinamiento_geometrico_tiempo.py;006;تطور كامل dt عبر δt
ar;confinamiento_geometrico_tiempo.py;007;round
ar;confinamiento_geometrico_tiempo.py;008;white
ar;confinamiento_geometrico_tiempo.py;009;🎨 جاري إنشاء 6 رسوم كاملة لأينشتاين-فيد...
ar;confinamiento_geometrico_tiempo.py;010;\n✅ 6 رسوم كاملة:
ar;confinamiento_geometrico_tiempo.py;011;__main__
ar;confinamiento_geometrico_tiempo.py;012;lightblue
ar;confinamiento_geometrico_tiempo.py;013;red
ar;confinamiento_geometrico_tiempo.py;014;الحالة الأساسية n=1\nالزمكان + موجة دائرية
ar;confinamiento_geometrico_tiempo.py;015;bold
ar;confinamiento_geometrico_tiempo.py;016;tight
ar;confinamiento_geometrico_tiempo.py;017;white
ar;confinamiento_geometrico_tiempo.py;018;red
ar;confinamiento_geometrico_tiempo.py;019;الحالة المثارة n=3\nمتشعب الزمكان + 3 عقد
ar;confinamiento_geometrico_tiempo.py;020;bold
ar;confinamiento_geometrico_tiempo.py;021;tight
ar;confinamiento_geometrico_tiempo.py;022;white
ar;confinamiento_geometrico_tiempo.py;023;lightblue
ar;confinamiento_geometrico_tiempo.py;024;red
ar;confinamiento_geometrico_tiempo.py;025;n=1: الحالة الأساسية
ar;confinamiento_geometrico_tiempo.py;026;bold
ar;confinamiento_geometrico_tiempo.py;027;red
ar;confinamiento_geometrico_tiempo.py;028;n=3: الحالة المثارة
ar;confinamiento_geometrico_tiempo.py;029;bold
ar;confinamiento_geometrico_tiempo.py;030;tight
ar;confinamiento_geometrico_tiempo.py;031;white
ar;confinamiento_geometrico_tiempo.py;032;lightblue
ar;confinamiento_geometrico_tiempo.py;033;red
ar;confinamiento_geometrico_tiempo.py;034;green
ar;confinamiento_geometrico_tiempo.py;035;green
ar;confinamiento_geometrico_tiempo.py;036;green
ar;confinamiento_geometrico_tiempo.py;037;bold
ar;confinamiento_geometrico_tiempo.py;038;توليد n=1: dt → سطح\nمنحنيات دائرية تولد أسطوانة
ar;confinamiento_geometrico_tiempo.py;039;bold
ar;confinamiento_geometrico_tiempo.py;040;tight
ar;confinamiento_geometrico_tiempo.py;041;white
ar;confinamiento_geometrico_tiempo.py;042;red
ar;confinamiento_geometrico_tiempo.py;043;green
ar;confinamiento_geometrico_tiempo.py;044;green
ar;confinamiento_geometrico_tiempo.py;045;green
ar;confinamiento_geometrico_tiempo.py;046;bold
ar;confinamiento_geometrico_tiempo.py;047;توليد n=3: dt → متشعب\nمنحنيات عقدية تولد هندسة
ar;confinamiento_geometrico_tiempo.py;048;bold
ar;confinamiento_geometrico_tiempo.py;049;tight
ar;confinamiento_geometrico_tiempo.py;050;white
ar;confinamiento_geometrico_tiempo.py;051;red
ar;confinamiento_geometrico_tiempo.py;052;darkred
ar;confinamiento_geometrico_tiempo.py;053;δt={t}
ar;confinamiento_geometrico_tiempo.py;054;center
ar;confinamiento_geometrico_tiempo.py;055;bold
ar;confinamiento_geometrico_tiempo.py;056;blue
ar;confinamiento_geometrico_tiempo.py;057;blue
ar;confinamiento_geometrico_tiempo.py;058;تطور\nزمني
ar;confinamiento_geometrico_tiempo.py;059;blue
ar;confinamiento_geometrico_tiempo.py;060;bold
ar;confinamiento_geometrico_tiempo.py;061;تطور كامل: dt → δt → حالات n\nالحصر الكمومي لأينشتاين-فيد
ar;confinamiento_geometrico_tiempo.py;062;bold
ar;confinamiento_geometrico_tiempo.py;063;tight
ar;confinamiento_geometrico_tiempo.py;064;white
ar;entrelazamiento_geometrico.py;001;"
    النسخة النهائية المصححة:
    - المربعات "
ar;entrelazamiento_geometrico.py;002; و 
ar;entrelazamiento_geometrico.py;003;" على نفس المستوى
    - تصميم أوسع لاستيعاب كلا المربعين
    - مع الاحتفاظ بالزخرفة الحالية
    "
